,Wikipedia_features,wikipedia_featurs_No,twitter_features,twitter_featurs_No,kaggle_features,kaggle_featurs_No,youtube_features,youtube_featurs_No
67,it is,925.3918805262504,muslims,66.96600281945193,think,53.52824785323203,who,39.82670103922939
68,thanks,914.919816625215,kat and,66.62423143283888,right,52.698775154432994,make,39.743844678081004
69,which,910.2208604034627,has,66.05061183445387,now,52.633982354285756,this song,39.19085748031721
70,to be,905.4337143910326,and andre,65.42234699963794,then,52.40874169587831,his,39.13511017675304
71,how,904.4385257288612,in the,65.29791238896952,by,51.5780058335959,shit,38.96217389695619
72,the article,902.5825207852471,now,64.44692396373671,stupid,51.57055314066032,them,38.85823587296944
73,his,901.91295550504,why,63.725487247442224,has,51.09616042449316,an,38.65301493431035
74,you are,899.1656256623288,when,61.67834339371346,here,50.762126182158156,more,38.55717454925033
75,am,893.6460661330475,go,61.532323981128975,there,50.40467317700794,re,38.54583104018607
76,on the,887.3156035603923,think,60.93021499475967,really,50.05445970952164,go,38.427775058685924
77,also,878.1844600238852,because,60.71883193680864,little,49.63987773570364,now,38.06164606099085
78,other,875.6600107621382,good,60.02027121139484,of the,49.5307882097577,got,37.90872780370962
79,up,874.6784347155411,time,58.76386873508008,ass,48.89944905436883,dont,36.96262734997664
80,people,838.5371974087624,re,58.53444219892623,him,48.127883049106906,much,36.67140827985038
81,now,835.979464096234,know,58.33356065461778,good,47.68171158069267,of the,36.438260588890635
82,edit,830.9407359578812,https,57.29186544759608,off,47.6292248451127,xd,36.4358310064446
83,because,830.772958736883,ve,55.98859771481757,back,47.19690651908903,see,36.30696822585525
84,out,804.1056694869907,oh,55.96428243625554,their,46.81564480619256,him,36.198013672900075
85,get,795.4075453155058,https co,55.856825582029145,them,46.59352056552911,too,35.921323576094814
86,re,791.2187450073826,really,55.59293492478604,some,46.508197996226514,should,35.856968049614956
87,did,787.3986668721924,muslim,55.00693861898024,lol,45.32412325917803,amazing,35.786034653431614
88,only,771.6416730908172,going,53.58760823452792,than,45.08583747376125,fucking,35.281932906951525
89,when,755.8848034223436,mkr2015,52.65009894862665,xc2,44.468429651874295,man,35.099792768767145
90,time,730.6763125142543,to be,52.11401537444318,should,44.22523920399105,because,35.040391784674036
91,then,727.7160985507942,want,52.07947897691022,were,44.16422820735063,great,34.938595164280684
92,is not,715.7839938949077,you are,51.617687966899176,man,44.149966469233796,omg,34.84377399009657
93,good,706.0034444214948,this is,51.446589613636206,her,43.74806787497557,has,34.83056225068767
94,for the,702.4511024039277,were,51.03459491419588,like you,43.41087743342303,better,34.660456533160165
95,being,695.6240344971508,only,51.00431755650703,time,43.166010537620046,look,33.834278645822
96,this is,694.4244453426338,see,50.661682629841785,she,43.158162437987535,then,33.778631232954105
97,were,690.973061540612,should,50.576662720030356,and you,42.85822422233884,best,33.43638161905569
98,well,675.8929948419059,yes,50.30351132188058,only,42.63570372253993,guys,33.35024186953979
99,them,675.623283127871,mykitchenrules,49.67625279406822,if you,42.4109263120784,by,33.18291310188776
100,than,655.0282214918392,than,49.38982508278513,an idiot,41.929499941694004,you are,33.11543906818509
101,articles,650.7521244651438,been,49.289787017404315,see,41.63289027522721,time,32.91322626786126
102,ve,650.4329297702208,here,48.43442486563549,too,41.55323698029349,some,32.89557909393689
103,make,645.0779178621342,some,48.157058918176155,bitch,41.07329598696109,only,32.75511863527023
104,even,642.004108969929,maxblumenthal,47.6615922251908,say,40.61347328816583,if you,32.61081250683918
105,does,637.8465696418317,make,47.523886356652405,to be,40.355680709293146,even,32.293351565321565
106,go,636.5393309717293,did,46.69941530204834,better,40.33019269077894,awesome,32.11095261648623
107,user,635.440272047341,being,46.550413085951845,make,40.03976785166672,want,31.91967516048132
108,stop,627.6670702459901,love,46.375276519905064,been,38.73993540244532,oh,31.78783725064848
109,very,619.5615106792894,freebsdgirl,45.93977136860545,even,37.81301865796498,say,31.552518502934603
110,talk page,619.4911713308255,even,45.33317337114898,still,37.785809933486846,nice,30.407032828290763
111,want,619.2184848351926,she,44.93760574299078,going,36.814777985090274,am,30.338280469088
112,their,617.3465893789543,colin,44.462778676515015,need,36.801289904495064,right,30.31197552315811
113,you have,616.6327678262522,well,44.08509937568162,well,36.68949123066704,girl,30.15635737124167
114,use,612.2377177873418,off,43.55124356131816,dumb,36.67849445154884,you re,29.804550715482105
115,could,604.8961835835914,back,43.469036134715225,other,36.66407495738027,than,29.79103351973097
116,thank,601.3297740557272,his,43.073304331481154,never,36.64325269912463,to be,29.72601041688661
117,may,588.3658649635738,never,42.879588550242154,did,36.294089940155686,haha,29.66029353166893
118,its,587.6326559350862,too,42.7388157405105,over,36.259662035351546,funny,29.598241090576586
119,way,581.6746761723944,still,41.82112463726649,us,36.13335690795663,way,29.28697202958084
120,thank you,581.2820609609444,these,41.75434953729202,moron,36.105603671758104,were,29.03908778404434
121,again,580.0930581596726,am,41.67663484314756,being,35.75491760814648,here,29.017250544703032
122,that the,573.6095013704371,where,41.40284396706577,to the,34.99409590046123,well,29.01099467285643
123,name,573.2832761377086,fuck,40.59748704232901,got,34.926992019738364,need,28.992730323479734
124,fuck,572.5937344387993,mkr http,40.551521465096776,you have,34.894623737186535,made,28.965556116793657
125,say,569.4485423482478,way,40.18070783188597,look,34.7079375098335,had,28.898615724497503
126,had,568.9309532145338,going to,40.173041529620754,our,34.20414856148231,please,28.659713636277303
127,really,567.293761455904,her,39.767856025957705,any,33.9635900745879,these,28.61815905218144
128,edits,563.8832480580372,those,39.52385368018841,way,33.872501719188755,still,28.5646214918257
129,section,560.695038884318,girls,39.4951415120786,yourself,33.57715120171329,cute,28.56203234443585
130,new,551.0039451719916,they are,39.49237167934674,on the,33.349110814587355,ever,28.45060556136769
131,wp,547.8002775741394,is the,39.4667338439466,want,33.3197360590685,is the,28.28367754433057
132,sources,545.707215731479,need,39.19611220595622,love,33.218280254577465,ur,28.186326044366666
133,and the,543.1557082947708,mkr mkr2015,38.966681244129404,obama,33.117565163623354,wow,28.13450996469127
134,need,542.2346807476154,mohammed,38.71728883447263,ll,32.86637738892437,on the,28.0454814127238
135,is the,541.8194845450727,had,38.31115968595442,very,32.58672268686408,voice,27.75293122736877
136,information,540.8077296158261,over,37.80598107659228,where,31.90954257577216,thanks,27.740106493446216
137,you re,540.7473874198233,daesh,37.54607711645066,comment,31.300387538176533,guy,27.591389160714503
138,source,540.5997516504808,hate,37.15623252689279,had,31.199635227887388,videos,27.558988709803014
139,much,537.9241473581881,another,37.05453425852065,white,31.15637360644395,music,27.520604409236928
140,this article,537.4263797867791,much,36.77003218257917,much,31.104729869983874,their,27.510084572230802
141,do not,533.6822156996611,got,36.74001263504717,must,30.74883244138547,going,27.425076022481075
142,blocked,532.6261992328244,right,36.52969214902053,down,30.640035026460772,first,27.283593194988924
143,should be,531.4962147558658,any,36.21846137192082,you don,30.23029964573741,very,27.100137476657054
144,made,531.083193773327,twitter,36.21134005538508,am,29.64102803010145,new,27.050072887892288
145,such,530.5162809376114,on the,35.99894772772026,said,29.52144783557487,off,26.982913127502933
146,right,530.3688831387836,you re,35.96920881841009,xc2 xa0,29.457661839262208,thats,26.861536755557445
147,editing,528.3257780730129,to the,35.81144346096495,take,29.368265194624296,back,26.85739070636234
148,first,527.6178028135197,show,35.56007874590468,life,29.353512480162806,love this,26.693390588407674
149,ll,525.621477651827,for the,35.507732131589194,these,29.077824288868925,bad,26.610507039079877
150,these,525.1935082024675,say,35.23787548610933,oh,28.96985329985361,never,26.4462675540104
151,redirect,509.8582263555521,other,35.19878473121089,out of,28.882098632761263,looks,26.417845384672674
152,there is,509.3311053856881,us,34.82967547479903,its,28.80153801595351,life,26.14176445532804
153,where,508.8928987758545,didn,34.79198987672027,xa0 xa0,28.7668760122086,god,26.033394065215163
154,someone,507.3686411894457,sure,34.74974899018823,suck,28.628379982338906,watch,25.97768119932749
155,too,503.57171089275596,doesn,34.70242487136541,talking,28.19775527132128,stop,25.63994173976252
156,that you,500.7985730258169,lol,34.59429274325353,yes,28.012476519476387,could,25.46565893268945
157,back,500.24428393274115,then,34.51681142033874,come,28.00647196727902,where,25.408205665351574
158,it was,496.69330247382265,many,34.49513485416322,you can,27.970617047608208,been,25.364841695711235
159,you can,496.4809049420641,shit,33.93444295124252,gay,27.85644785386888,pretty,25.325350881826008
160,with the,493.20731741533865,someone,33.74930387223731,stop,27.790625610334768,does,25.262896841262922
161,read,488.9353928112115,again,33.40808641267648,do you,27.697192201029328,beautiful,24.6501108154408
162,same,487.14909532629684,looks,33.26440103932511,those,27.646939348103977,old,24.62039881167201
163,him,483.8192751994865,quran,33.25163105182761,for the,27.459210127981333,said,24.498643324221764
164,look,482.97581048036943,does,33.23414524386176,ever,27.305268338014198,cool,24.49231286952559
165,at the,482.80507966086236,look,33.06909119251261,again,27.16875587195045,thing,24.487673325501827
166,many,482.04559633947184,against,33.017648160097536,when you,26.925824615065512,it was,24.383355924216556
167,help,477.3972316807,into,32.99605815002022,dont,26.875994743670798,other,24.248122334501506
168,before,474.94738773350065,if you,32.617854745691446,going to,26.57675699984704,little,24.03598486657547
169,discussion,474.9116559068554,yeah,32.53225491252449,does,26.3326163742909,same,23.986949393675605
170,still,471.2395748811966,religion,32.5307708465792,you know,26.330126159401086,name,23.85595961260817
171,pages,465.9884683946197,most,32.32750807273729,dick,26.220441134239877,day,23.77329381337343
172,block,465.652118981228,it is,32.07414979783395,are an,26.148008333686892,keep,23.67993282025074
173,going,465.40497885342313,men,32.030066617240855,are the,26.07391736849577,yeah,23.674147057831316
174,since,465.0208151829653,stop,31.948951824272733,let,26.016042978097246,ass,23.62997613741114
175,wiki,462.77725349507034,want to,31.70160832072031,into,25.7419966918559,game,23.496731001122235
176,into,461.96727116328634,same,31.311900308085338,money,25.66172083004381,to the,23.39539599143135
177,find,461.39122108494837,pretty,31.118522539793897,black,25.620789569752496,hate,23.376153111462003
178,to do,460.65499131958387,read,31.054564501201085,sure,25.539071189360897,real,23.26321619686456
179,off,458.7763515599696,thing,31.045515718119564,give,25.43832855371351,ve,23.249852271227397
180,something,457.5604109119203,him,30.96851510244285,that you,25.23726564019917,thank,22.773066624180387
181,work,456.6029505020228,jews,30.550655981287665,please,25.078249427636234,actually,22.64448864187826
182,do you,456.4460352810418,have to,30.402530252845175,the fuck,25.070115203561357,this video,22.53333583527023
183,said,455.53074959324266,annie,30.386139914787034,old,25.020941706964447,for the,22.512954080321485
184,take,455.33746967422564,bad,30.19208029732361,could,25.018534726674037,de,22.405781472228675
185,those,452.91688013295374,ever,30.18131701091103,real,25.01602759567609,you have,22.29708472354756
186,over,451.0906305431671,world,30.1620577777802,away,24.85011033559105,dude,22.244823713729602
187,add,448.9980988591912,round,29.96450182092376,nothing,24.843226391503247,mean,22.054623464219883
188,added,448.39127833563134,food,29.830191875180645,many,24.836117958140907,bitch,22.011345880405244
189,point,446.9395320632403,ll,29.71741104964877,fan,24.820789708074408,those,22.009677709657392
190,vandalism,446.1558457168395,cooking,29.607099761234945,own,24.684999828427614,the best,21.86217276392622
191,from the,445.44340941804313,every,29.398214083257763,ve,24.679408265065227,something,21.705750634861623
192,redirect talk,442.5759237641847,hope,29.29185089904171,before,24.586861384143997,damn,21.63364085852879
193,most,442.5641674488884,greenlinerzjm,29.142311584438342,post,24.330715530490764,stupid,21.613787139466247
194,used,440.4982123956,could,29.04309164399964,another,24.319451202427558,cant,21.606839439777023
195,will be,437.4064768718062,and the,28.90545834932425,damn,24.134570203581234,over,21.488161099214476
196,http,436.35354172980726,fucking,28.83975480912436,name,24.11966630502151,hell,21.43711299022171
197,two,435.7457944417873,cook,28.810544281107344,hope,24.11765986892072,love you,21.403178904871396
198,own,433.1751549105548,tonight,28.76514710858177,someone,24.099903915653965,is so,21.230819916205565
199,want to,430.6555900481924,better,28.755655557781488,didn,23.886296041809,any,21.12502658346968
200,after,428.9754440256144,all the,28.633751057006513,first,23.797629803016928,play,21.098151301518413
201,the same,428.7255357255544,isn,28.028765882759327,fuck you,23.714487187390628,at the,20.79862731687366
202,removed,426.48300091820005,kat amp,27.91690862651244,something,23.57944787622379,do you,20.793200129088444
203,has been,421.9601187594374,lt,27.868266837586265,it is,23.519923969379548,comment,20.72037858887229
204,never,419.04382740673384,nothing,27.810986723077303,and the,23.393455981117878,being,20.524320064853523
205,sorry,417.9118058078335,after,27.777829209450864,bad,23.376771407299923,you can,20.434039321094648
206,that is,417.6702902576648,do you,27.704349809853298,you and,23.346137483029608,always,20.41999443934035
207,list,416.50719641419676,let,27.638057339869924,big,23.328731015698093,going to,20.405783217325705
208,fact,415.4553733531859,israeliregime,27.61825589180461,that is,23.328269669214524,down,20.399707132360057
209,better,415.4368641024597,mosul,27.55370964574809,most,23.14972558554359,hey,20.31707055705698
210,comment,414.124703921332,before,27.513847638761558,of your,23.140798929671973,job,20.314291738694852
211,personal,412.96832124213097,years,27.472372784253988,work,23.114766040730466,youtube,20.19543963203161
212,link,408.8998968624884,prophet,27.45331392678957,and your,23.055741654696913,someone,20.187662470512592
213,put,407.468621638918,islam is,27.22306792126669,nyou,22.813507299238,sorry,20.126708468333355
214,have been,407.02535441930667,you can,27.2208837907254,great,22.714764109817253,it is,20.09278312832155
215,hi,406.8604177068871,things,26.924010326614237,day,22.697813473303103,come,20.06379360249819
216,would be,404.53405540479736,there is,26.85478554690785,with the,22.66670969693046,que,20.04339160035538
217,another,402.1809979635643,gamergate,26.824763915696803,such,22.52891835051484,also,20.02828542606147
218,deleted,401.8541389099234,instant,26.60981207050948,god,22.44859127130797,put,20.000698383355328
219,are you,401.7575285782635,amp andre,26.607412795092117,comments,22.397387935644037,yes,19.935860245931732
220,thanks for,401.3376253383848,actually,26.37883392832137,read,22.375934505636863,face,19.920259117523138
221,sure,399.398248872919,give,26.36024899084233,years,22.248401255997877,thank you,19.893995184205718
222,anything,397.79454498315386,that is,26.343458883565212,same,22.194849025582727,so much,19.83842181221435
223,doesn,397.5953411327283,are the,26.23896013324435,loser,22.186866104936367,show,19.79273893501789
224,history,393.53873608859766,sexist,26.131050719452748,have to,22.11578920283491,the same,19.72272870456032
225,by the,388.3967700931569,is not,26.128891662257967,nigga,22.02525237142977,feel,19.719156296705766
226,actually,388.1076163516903,the quran,26.12593840219481,shut,21.946628321764887,before,19.66009434159557
227,wrong,386.8797182917688,down,25.87144335106505,which,21.942438817396372,didn,19.524340440335163
228,without,385.99661496095337,doing,25.822550370734767,anything,21.759741815363444,every,19.513940911016267
229,let,385.47126457022597,it was,25.81877286385103,wrong,21.751623715949346,most,19.49722764842194
230,about the,383.39229574455277,take,25.762372476849414,getting,21.719221999804677,gay,19.477850267488925
231,seems,381.8070104932431,anyone,25.65181515090446,try,21.71242215158159,all the,19.468995492438623
232,reason,381.72478229529685,use,25.62908091512975,this is,21.69915410746799,have to,19.38693719879184
233,keep,379.6570736676785,day,25.582589424229766,because you,21.683831099832112,us,19.37808438039194
234,utc,379.57339407500086,that the,25.57902333827484,every,21.683257589674348,tell,19.32511251379726
235,didn,378.91473523998985,thanks,25.533954134281675,game,21.584307165978426,use,19.325008806959115
236,done,377.5749298041653,the same,25.50014704023397,guy,21.422337536030213,black,19.307448350529747
237,nothing,376.48866137877764,death,25.18815488849007,in your,21.392226457767986,one of,19.18185449936853
238,little,374.50020252141024,through,25.005762342970733,team,21.16839008318139,live,19.14683238103105
239,her,372.6451553958348,god,24.93520459170145,fat,21.16063071521522,like this,19.12544756505762
240,agree,366.8205787389063,are you,24.91603045118818,always,21.152804775046228,la,19.125117080259525
241,com,363.4319613855609,to do,24.910028962094213,keep,21.150701216469788,take,19.075225353838533
242,fucking,360.7985150703376,done,24.776352991071214,doesn,21.11558707357231,work,18.914214465092925
243,she,359.58795826664596,work,24.695187981594483,after,21.104796906473894,let,18.913461143741614
244,comments,359.43190763648596,tell,24.63032913597039,need to,21.076618531863147,thought,18.861263458239936
245,going to,357.24905617510206,man,24.402690184959997,tell,21.064010391995765,give,18.847728779290634
246,yes,354.79317008198166,last,24.32967818440027,xa0you,21.038647492869774,are you,18.806262289069384
247,anyone,351.45331392783106,please,24.168525602984353,they are,21.03165572620437,want to,18.75364869413702
248,the page,350.3853600227484,new,24.067161162436122,doing,20.990056767925417,they are,18.700823589920283
249,thing,350.1034257211747,need to,23.979829165678364,mean,20.949708257108483,makes,18.693489893801374
250,case,348.84675770867204,made,23.94540493010289,point,20.881939410243007,saying,18.66470065383657
251,change,347.7712049324667,must,23.916425370103173,thing,20.80349849451227,after,18.384073495443445
252,might,346.16370758789594,watching,23.862844235425893,troll,20.694597251756207,love it,18.304641840997366
253,deletion,345.82602618990165,try,23.750197665232076,is the,20.679841345853454,everyone,18.272944584576194
254,editors,345.28590746390955,next,23.714618228346303,year,20.629852731964828,that was,18.11886373748565
255,already,344.23095666255347,to get,23.51739909968213,want to,20.627968966284207,wtf,18.11706576010425
256,they are,344.1273581122168,war,23.423781232215944,you really,20.512894448994974,sounds,18.101727279651527
257,person,343.710746412938,talk,23.397380504687597,back to,20.45249383072957,though,18.02368753990777
258,against,341.46318777966275,on mkr,23.370611690723013,hey,20.41963835414783,ll,18.004836270898927
259,got,341.4543964071404,wadhwa,23.28635822981618,yeah,20.393597793163238,hope,17.986449201965517
260,content,340.57391675699944,also,23.26250339285767,mother,20.365098227013767,watching,17.87961943452245
261,life,340.55652341150187,our,23.256661274405808,pathetic,20.340889158053187,and the,17.845432169378473
262,both,339.43335004206136,real,23.210619101766127,also,20.302942710683176,try,17.751586227764022
263,delete,338.64266767733443,today,23.193146645225834,is not,20.23790118557289,sure,17.703009768167362
264,us,338.4483617868342,come,23.07628975034871,maybe,20.100839545958067,ok,17.654913690243088
265,things,336.9770553835991,will be,23.04297372149327,put,20.02843610131149,the fuck,17.58825356977923
266,yourself,336.33343100109045,bilalighumman,23.042149169406294,all the,20.003201699773935,he is,17.505016774492926
267,believe,335.1679352923449,out of,22.823737515210713,guys,20.000427871790357,gonna,17.444272270720138
268,that it,334.4861930110411,anything,22.817040543053288,must be,19.88634684172055,anyone,17.418945488794268
269,of this,332.91480047676544,first,22.81173746260546,blow,19.745488574403538,lmao,17.40010695171702
270,problem,332.55882690809955,killed,22.78926656741591,ignorant,19.736571923696207,part,17.327600302533117
271,does not,331.61675000031994,which,22.74799863472878,face,19.695102930802594,to get,17.326528882824224
272,need to,331.4372809135181,it not,22.601712345542268,talk,19.626356081729952,to do,17.310256239156846
273,place,330.52043559185194,breakfast,22.59133585031143,ni,19.548394395258764,again,17.305186212274762
274,image,329.19015132873886,at the,22.579296698554174,watch,19.407459987692015,big,17.274263110930338
275,mean,329.1256062815408,wrong,22.396953768998,are not,19.352136020760238,such,17.270547376388187
276,give,329.0579050135125,stupid,22.293020573137678,to get,19.32648281839442,you guys,17.266560449620112
277,question,328.7963130556701,of islam,22.072074604055672,made,19.300780753019534,hard,17.260838428819433
278,ip,328.76541200062684,halalflaws,22.022607972521005,talking about,19.290002641427005,end,17.252118316249074
279,hey,328.67882518754766,idea,21.99990138972663,world,19.287558026329275,many,17.24901378415509
280,above,328.54775256670797,feel,21.991486589243024,he is,19.27307765370748,sing,17.20988017191883
281,part,328.3901095315333,something,21.8585125308538,hate,19.270494768089932,wrong,17.1859091043596
282,there are,327.3889656879792,little,21.803506569843407,actually,19.25423666953509,world,17.17474338414075
283,remove,327.177714684852,thought,21.751702528608483,sound,19.2211693665949,year,17.11423410390833
284,trying,327.11536820413534,everyone,21.618925494629735,best,19.21318461363498,hair,17.108939964870856
285,while,326.2242330568782,lloyd,21.574658228268653,what you,19.151619572106075,sound,17.09328724466753
286,though,325.86348332838236,teams,21.566792932140945,show,18.989106228267488,with the,17.08587003651321
287,you will,325.6824535059385,very,21.556923970217603,mom,18.983363041698986,need to,17.08113527079751
288,feel,324.5020952479146,nikki,21.53501637953412,funny,18.98276969790367,die,17.01005984386726
289,can be,323.34306127414675,life,21.527202577529344,racist,18.835254451325934,years,16.96260998977537
290,understand,323.2507634720228,while,21.489388927479816,nice,18.8258441617749,she is,16.95340216916754
291,are not,321.1893910726684,would be,21.47222854229388,while,18.799486646970912,would be,16.86940484545723
292,have to,320.5519344086488,said,21.420163942931055,xa0 you,18.63476311308026,hes,16.755283598444116
293,isn,319.61090171375116,you have,21.364013535813662,com,18.60717872254387,out of,16.727972590230547
294,last,318.05584740140176,pete,21.3115910067845,one of,18.580064419365293,into,16.654850519583402
295,long,314.9598613819539,sorry,21.258481583266924,will be,18.512082764017336,doing,16.594200367506307
296,under,313.9534055476971,from the,21.216973595265348,feel,18.396260432242336,to see,16.579465599672822
297,world,313.43572203886987,year,21.14262227769737,probably,18.22859694151224,wait,16.502448955595952
298,our,313.37503720142996,islamic,21.135451336452352,new,18.20783875135921,hot,16.488631686843586
299,however,312.03066124780895,home,21.105915979195586,the same,18.20617627791598,10,16.478132418016774
300,this page,311.56756128672987,yup,21.10212226106098,are so,18.166665851495207,the song,16.450561797909526
301,come,311.3870482049158,getting,21.100032853485807,person,18.155246100692448,is that,16.342437984293472
302,note,311.17824553097614,omg,21.029171523557686,next,18.0758024439414,happy,16.23950569424408
303,trying to,311.0960293844128,two,20.965037310137372,hell,18.054537729016182,person,16.018729449057282
304,on this,307.8236969569736,christians,20.91920591588727,would be,17.977116965831467,you should,16.004466004766172
305,hope,304.8722392982568,wow,20.919011032360086,both,17.821118190972506,doesn,15.978666600259704
306,try,304.75044629370905,thequinnspiracy,20.874764662365926,you must,17.817814373968858,the video,15.961578875340711
307,oh,303.66063107491925,face,20.842463112547065,wow,17.81295824169482,that is,15.95801898353373
308,all the,302.11653126308966,sajid_fairooz,20.701725479852303,at the,17.77892031030873,maybe,15.914828575430613
309,using,301.69775506561746,sajid_fairooz israeliregime,20.701725479852303,girl,17.736433786950013,what the,15.86727125065919
310,ok,301.1906563590534,murder,20.614994717472413,you were,17.667017268656046,school,15.857954398517554
311,for your,300.30965980182765,wait,20.605068328164727,anyone,17.65724098209439,singing,15.776546783385465
